dialogue_id,group,source_quality_flag,source_quality_issue,turn_id,turn,speaker_id,n_chars,n_words,lexical_entropy,mattr,surprisal_mean,surprisal_sent_max,sem_dist_partner,sem_dist_self,CR01_avg,CR02_avg,CR03_avg,cr_turn_composite,ct_analysis,ct_evaluation,ct_reasoning,ct_composite,CR01_R1,CR01_R2,CR02_R1,CR02_R2,CR03_R1,CR03_R2,CT01_R1,CT01_R2,CT02_R1,CT02_R2,CT03_R1,CT03_R2,self_novelty,delta_surprisal,peak_break,sem_dist_partner_truncate,sem_dist_self_truncate,self_novelty_truncate,self_novelty_z,delta_surprisal_z
AI012,AI,False,none,AI012_T6,6,S02,106,59,3.452985289518693,0.9519999999999998,2.7642414529940913,2.8426151872965795,0.3546634490186405,0.3389470878467574,2.0,2.0,2.0,6.0,2.0,2.0,3.0,2.33,2.0,2.0,2.0,2.0,2.0,2.0,2,2,2,2,3,3,0.2835086025986214,-0.4570715654178827,-0.4570715654178827,0.3546634490186405,0.3389470878467574,0.2835086025986214,-0.7490077104044818,-1.4642859370980132
AI012,AI,False,none,AI012_T8,8,S02,98,53,3.698854333269792,0.9931818181818184,3.392363248203518,3.4123070650444975,0.2893486383418523,0.392425100054643,2.5,2.5,2.0,7.0,3.5,3.5,4.0,3.67,3.0,2.0,2.0,3.0,3.0,1.0,4,3,3,4,4,4,0.2949615492506962,0.6281217952094269,0.1710502297915441,0.2893486383418523,0.392425100054643,0.2949615492506962,-0.591815037361517,1.6410684595336775
AI012,AI,False,none,AI012_T10,10,S02,92,46,3.6364454332177063,1.0,3.4191516543526137,3.711802702645461,0.2631155266342834,0.3846747971317498,2.5,3.0,2.5,8.0,4.0,3.5,4.0,3.83,3.0,2.0,3.0,3.0,3.0,2.0,4,4,3,4,4,4,0.3379880267906711,0.0267884061490955,0.0267884061490955,0.2631155266342834,0.3846747971317498,0.3379880267906711,-0.0012729505434936682,-0.07968781424271958
AI012,AI,False,none,AI012_T12,12,S02,104,52,3.691183227473579,0.9581395348837208,3.1365504228988743,3.363557702302933,0.3532377786948235,0.4248329562811235,3.0,2.5,2.0,7.5,3.0,3.0,4.0,3.33,3.0,3.0,3.0,2.0,2.0,2.0,3,3,3,3,4,4,0.2974114198881012,-0.2826012314537394,-0.2826012314537394,0.3532377786948235,0.4248329562811235,0.2974114198881012,-0.5581903531817992,-0.9650272443023237
AI012,AI,False,none,AI012_T14,14,S02,84,43,3.652313342969743,0.976470588235294,2.9940130247022183,3.170705513939971,0.5492841903735646,0.5309206349558826,2.0,2.0,3.0,7.0,3.0,2.5,3.0,2.83,2.0,2.0,2.0,2.0,3.0,3.0,3,3,3,2,3,3,0.4624844718738993,-0.142537398196656,-0.4251386296503954,0.5492841903735646,0.5309206349558826,0.4624844718738993,1.707451413717302,-0.5642250866457887
AI012,AI,False,none,AI012_T16,16,S02,88,44,3.6266561837910007,0.9685714285714284,3.2882921200310973,4.399084712777819,0.4639550450862714,0.486304475377227,3.0,2.0,3.0,8.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2,2,2,2,2,2,0.334366004763644,0.2942790953288789,-0.1308595343215164,0.4639550450862714,0.486304475377227,0.334366004763644,-0.05098551286873115,0.6857549334186851
AI012,AI,False,none,AI012_T18,18,S02,77,39,3.6280156368701606,0.99,3.1971153906387353,3.363006732469269,0.5239013416204279,0.5292111128270538,2.5,2.0,3.0,7.5,2.5,2.5,3.0,2.67,3.0,2.0,2.0,2.0,3.0,3.0,3,2,3,2,3,3,0.3915897492167031,-0.0911767293923619,-0.2220362637138784,0.5239013416204279,0.5292111128270538,0.3915897492167031,0.7344152774575159,-0.4172530497056054
AI012,AI,False,none,AI012_T20,20,S02,75,39,3.4013229622423693,0.9566666666666666,3.6441357303498623,3.90851802050343,0.4100825308520061,0.466106411060375,2.5,2.0,2.0,6.5,3.5,3.0,3.5,3.33,3.0,2.0,2.0,2.0,2.0,2.0,4,3,3,3,4,3,0.412361412143082,0.4470203397111274,0.224984075997249,0.4100825308520061,0.466106411060375,0.412361412143082,1.0195081289424601,1.1228343627613295
AI019,AI,False,none,AI019_T1,1,S01,230,117,4.3076053125670954,0.9925925925925926,3.199834476541311,3.364868346398527,,,3.0,3.0,2.0,8.0,1.0,1.0,1.5,1.17,3.0,3.0,3.0,3.0,2.0,2.0,1,1,1,1,1,2,,,,,,,,
AI019,AI,False,none,AI019_T3,3,S01,265,139,4.490193598548517,0.9761538461538464,2.8500712572931213,3.0018168922556057,0.2715763461796062,0.2110034356492873,2.5,3.0,2.5,8.0,2.0,1.0,3.5,2.17,3.0,2.0,3.0,3.0,3.0,2.0,2,2,1,1,4,3,0.2110034356492873,-0.3497632192481896,-0.3497632192481896,0.2715763461796062,0.2110034356492873,0.2110034356492873,1.0119060096297223,-1.2498385279294288
